Wavelength,Value,Boxcolor,Lightintensity
681.5,8.23E-02,blue,low
682,8.16E-02,blue,low
682.5,8.07E-02,blue,low
683,7.95E-02,blue,low
683.5,7.90E-02,blue,low
684,7.85E-02,blue,low
684.5,7.81E-02,blue,low
685,7.75E-02,blue,low
685.5,7.68E-02,blue,low
686,7.60E-02,blue,low
686.5,7.60E-02,blue,low
687,7.57E-02,blue,low
687.5,7.49E-02,blue,low
688,7.40E-02,blue,low
688.5,7.46E-02,blue,low
689,7.90E-02,blue,low
689.5,8.47E-02,blue,low
690,8.87E-02,blue,low
690.5,8.84E-02,blue,low
691,8.46E-02,blue,low
691.5,7.97E-02,blue,low
692,7.58E-02,blue,low
692.5,7.34E-02,blue,low
693,7.11E-02,blue,low
693.5,6.93E-02,blue,low
694,6.80E-02,blue,low
694.5,6.84E-02,blue,low
695,7.01E-02,blue,low
695.5,7.26E-02,blue,low
696,7.29E-02,blue,low
696.5,7.17E-02,blue,low
697,6.94E-02,blue,low
697.5,6.64E-02,blue,low
698,6.42E-02,blue,low
698.5,6.24E-02,blue,low
699,6.09E-02,blue,low
699.5,5.98E-02,blue,low
700,5.88E-02,blue,low
700.5,5.81E-02,blue,low
701,5.76E-02,blue,low
701.5,5.75E-02,blue,low
702,5.67E-02,blue,low
702.5,5.62E-02,blue,low
703,5.55E-02,blue,low
703.5,5.46E-02,blue,low
704,5.37E-02,blue,low
704.5,5.42E-02,blue,low
705,5.62E-02,blue,low
705.5,5.95E-02,blue,low
706,6.21E-02,blue,low
706.5,6.27E-02,blue,low
707,6.24E-02,blue,low
707.5,6.08E-02,blue,low
708,5.92E-02,blue,low
708.5,5.69E-02,blue,low
709,5.48E-02,blue,low
709.5,5.23E-02,blue,low
710,5.04E-02,blue,low
710.5,4.89E-02,blue,low
711,4.79E-02,blue,low
711.5,4.67E-02,blue,low
712,4.57E-02,blue,low
712.5,4.51E-02,blue,low
713,4.44E-02,blue,low
713.5,4.42E-02,blue,low
714,4.37E-02,blue,low
714.5,4.33E-02,blue,low
715,4.21E-02,blue,low
715.5,4.11E-02,blue,low
716,4.06E-02,blue,low
716.5,4.01E-02,blue,low
717,3.92E-02,blue,low
717.5,3.85E-02,blue,low
718,3.85E-02,blue,low
718.5,3.84E-02,blue,low
719,3.75E-02,blue,low
719.5,3.76E-02,blue,low
720,3.67E-02,blue,low
720.5,3.63E-02,blue,low
721,3.60E-02,blue,low
721.5,3.58E-02,blue,low
722,3.53E-02,blue,low
722.5,3.45E-02,blue,low
723,3.38E-02,blue,low
723.5,3.38E-02,blue,low
724,3.38E-02,blue,low
724.5,3.33E-02,blue,low
725,3.29E-02,blue,low
725.5,3.35E-02,blue,low
726,3.44E-02,blue,low
726.5,3.46E-02,blue,low
727,3.42E-02,blue,low
727.5,3.38E-02,blue,low
728,3.27E-02,blue,low
728.5,3.21E-02,blue,low
729,3.15E-02,blue,low
729.5,3.06E-02,blue,low
730,3.01E-02,blue,low
730.5,2.95E-02,blue,low
731,2.93E-02,blue,low
731.5,2.90E-02,blue,low
732,2.90E-02,blue,low
732.5,2.85E-02,blue,low
733,2.79E-02,blue,low
733.5,2.74E-02,blue,low
734,2.76E-02,blue,low
734.5,2.73E-02,blue,low
735,2.77E-02,blue,low
735.5,2.74E-02,blue,low
736,2.80E-02,blue,low
736.5,3.31E-02,blue,low
737,4.02E-02,blue,low
737.5,4.54E-02,blue,low
738,4.65E-02,blue,low
738.5,4.32E-02,blue,low
739,3.90E-02,blue,low
739.5,3.51E-02,blue,low
740,3.19E-02,blue,low
740.5,2.97E-02,blue,low
741,2.77E-02,blue,low
741.5,2.70E-02,blue,low
742,2.61E-02,blue,low
742.5,2.52E-02,blue,low
743,2.47E-02,blue,low
743.5,2.40E-02,blue,low
744,2.41E-02,blue,low
744.5,2.37E-02,blue,low
745,2.32E-02,blue,low
745.5,2.29E-02,blue,low
746,2.29E-02,blue,low
746.5,2.26E-02,blue,low
747,2.29E-02,blue,low
747.5,2.30E-02,blue,low
748,2.34E-02,blue,low
748.5,2.67E-02,blue,low
749,3.29E-02,blue,low
749.5,4.15E-02,blue,low
750,4.90E-02,blue,low
750.5,5.25E-02,blue,low
751,5.08E-02,blue,low
751.5,4.60E-02,blue,low
752,4.01E-02,blue,low
752.5,3.48E-02,blue,low
753,3.09E-02,blue,low
753.5,2.82E-02,blue,low
754,2.55E-02,blue,low
754.5,2.36E-02,blue,low
755,2.26E-02,blue,low
755.5,2.16E-02,blue,low
756,2.08E-02,blue,low
756.5,2.07E-02,blue,low
757,2.06E-02,blue,low
757.5,2.01E-02,blue,low
758,1.93E-02,blue,low
758.5,1.91E-02,blue,low
759,1.91E-02,blue,low
759.5,1.94E-02,blue,low
760,1.89E-02,blue,low
760.5,1.92E-02,blue,low
761,2.33E-02,blue,low
761.5,3.89E-02,blue,low
762,6.49E-02,blue,low
762.5,8.67E-02,blue,low
763,9.28E-02,blue,low
763.5,8.53E-02,blue,low
764,7.15E-02,blue,low
764.5,5.76E-02,blue,low
765,4.70E-02,blue,low
765.5,3.83E-02,blue,low
766,3.17E-02,blue,low
766.5,2.74E-02,blue,low
767,2.49E-02,blue,low
767.5,2.18E-02,blue,low
768,2.03E-02,blue,low
768.5,1.95E-02,blue,low
769,1.78E-02,blue,low
769.5,1.77E-02,blue,low
770,1.99E-02,blue,low
770.5,2.69E-02,blue,low
771,3.67E-02,blue,low
771.5,4.39E-02,blue,low
772,4.58E-02,blue,low
772.5,4.23E-02,blue,low
773,3.62E-02,blue,low
773.5,3.07E-02,blue,low
774,2.62E-02,blue,low
774.5,2.32E-02,blue,low
775,2.14E-02,blue,low
